master_id,master_fileID,slave_id,slave_fileID,delta_days,track,perp_baseline,temp_baseline
S1A_IW_SLC__1SDV_20230828T214432_20230828T214459_050081_0606C7_7F58,S1A_IW_SLC__1SDV_20230828T214432_20230828T214459_050081_0606C7_7F58-SLC,S1A_IW_SLC__1SDV_20230909T214432_20230909T214459_050256_060CB9_766F,S1A_IW_SLC__1SDV_20230909T214432_20230909T214459_050256_060CB9_766F-SLC,12,134,79.65385825233169,12
S1A_IW_SLC__1SDV_20230909T214252_20230909T214319_050256_060CB9_BFEF,S1A_IW_SLC__1SDV_20230909T214252_20230909T214319_050256_060CB9_BFEF-SLC,S1A_IW_SLC__1SDV_20230921T214252_20230921T214319_050431_0612AB_8244,S1A_IW_SLC__1SDV_20230921T214252_20230921T214319_050431_0612AB_8244-SLC,12,134,62.64854222303909,12
S1A_IW_SLC__1SDV_20230909T214317_20230909T214344_050256_060CB9_189E,S1A_IW_SLC__1SDV_20230909T214317_20230909T214344_050256_060CB9_189E-SLC,S1A_IW_SLC__1SDV_20230921T214317_20230921T214344_050431_0612AB_5FE7,S1A_IW_SLC__1SDV_20230921T214317_20230921T214344_050431_0612AB_5FE7-SLC,12,134,62.85985356622732,12
S1A_IW_SLC__1SDV_20230909T214342_20230909T214409_050256_060CB9_DD4F,S1A_IW_SLC__1SDV_20230909T214342_20230909T214409_050256_060CB9_DD4F-SLC,S1A_IW_SLC__1SDV_20230921T214342_20230921T214409_050431_0612AB_3022,S1A_IW_SLC__1SDV_20230921T214342_20230921T214409_050431_0612AB_3022-SLC,12,134,120.64556756996613,12
S1A_IW_SLC__1SDV_20230909T214407_20230909T214434_050256_060CB9_AB1C,S1A_IW_SLC__1SDV_20230909T214407_20230909T214434_050256_060CB9_AB1C-SLC,S1A_IW_SLC__1SDV_20230921T214407_20230921T214435_050431_0612AB_7BA8,S1A_IW_SLC__1SDV_20230921T214407_20230921T214435_050431_0612AB_7BA8-SLC,12,134,63.29617486115702,12
S1A_IW_SLC__1SDV_20230909T214432_20230909T214459_050256_060CB9_766F,S1A_IW_SLC__1SDV_20230909T214432_20230909T214459_050256_060CB9_766F-SLC,S1A_IW_SLC__1SDV_20230921T214432_20230921T214459_050431_0612AB_412D,S1A_IW_SLC__1SDV_20230921T214432_20230921T214459_050431_0612AB_412D-SLC,12,134,63.494370119490476,12
S1A_IW_SLC__1SDV_20231003T214317_20231003T214344_050606_0618B4_9264,S1A_IW_SLC__1SDV_20231003T214317_20231003T214344_050606_0618B4_9264-SLC,S1A_IW_SLC__1SDV_20231015T214317_20231015T214344_050781_061EB9_2315,S1A_IW_SLC__1SDV_20231015T214317_20231015T214344_050781_061EB9_2315-SLC,12,134,24.3207446735106,12
S1A_IW_SLC__1SDV_20231003T214407_20231003T214435_050606_0618B4_60A9,S1A_IW_SLC__1SDV_20231003T214407_20231003T214435_050606_0618B4_60A9-SLC,S1A_IW_SLC__1SDV_20231015T214407_20231015T214435_050781_061EB9_B0A5,S1A_IW_SLC__1SDV_20231015T214407_20231015T214435_050781_061EB9_B0A5-SLC,12,134,30.448021486264697,12
S1A_IW_SLC__1SDV_20231015T214317_20231015T214344_050781_061EB9_2315,S1A_IW_SLC__1SDV_20231015T214317_20231015T214344_050781_061EB9_2315-SLC,S1A_IW_SLC__1SDV_20231027T214317_20231027T214344_050956_0624A3_106E,S1A_IW_SLC__1SDV_20231027T214317_20231027T214344_050956_0624A3_106E-SLC,12,134,35.3607745451713,12
S1A_IW_SLC__1SDV_20231015T214407_20231015T214435_050781_061EB9_B0A5,S1A_IW_SLC__1SDV_20231015T214407_20231015T214435_050781_061EB9_B0A5-SLC,S1A_IW_SLC__1SDV_20231027T214407_20231027T214435_050956_0624A3_5297,S1A_IW_SLC__1SDV_20231027T214407_20231027T214435_050956_0624A3_5297-SLC,12,134,36.850910925782394,12
S1A_IW_SLC__1SDV_20231120T214252_20231120T214319_051306_0630BB_DB39,S1A_IW_SLC__1SDV_20231120T214252_20231120T214319_051306_0630BB_DB39-SLC,S1A_IW_SLC__1SDV_20231214T214251_20231214T214318_051656_063CD9_9563,S1A_IW_SLC__1SDV_20231214T214251_20231214T214318_051656_063CD9_9563-SLC,23,134,46.17702565155668,23
S1A_IW_SLC__1SDV_20231214T214251_20231214T214318_051656_063CD9_9563,S1A_IW_SLC__1SDV_20231214T214251_20231214T214318_051656_063CD9_9563-SLC,S1A_IW_SLC__1SDV_20240107T214250_20240107T214317_052006_0648E3_72B7,S1A_IW_SLC__1SDV_20240107T214250_20240107T214317_052006_0648E3_72B7-SLC,23,134,119.44032271227223,23
S1A_IW_SLC__1SDV_20240212T214248_20240212T214315_052531_065A9E_5331,S1A_IW_SLC__1SDV_20240212T214248_20240212T214315_052531_065A9E_5331-SLC,S1A_IW_SLC__1SDV_20240307T214248_20240307T214315_052881_066688_EAEC,S1A_IW_SLC__1SDV_20240307T214248_20240307T214315_052881_066688_EAEC-SLC,24,134,123.21557696378608,24
S1A_IW_SLC__1SDV_20240307T214313_20240307T214340_052881_066688_0394,S1A_IW_SLC__1SDV_20240307T214313_20240307T214340_052881_066688_0394-SLC,S1A_IW_SLC__1SDV_20240319T214313_20240319T214340_053056_066CD6_B01F,S1A_IW_SLC__1SDV_20240319T214313_20240319T214340_053056_066CD6_B01F-SLC,12,134,127.13295904889854,12
S1A_IW_SLC__1SDV_20240307T214338_20240307T214405_052881_066688_CF56,S1A_IW_SLC__1SDV_20240307T214338_20240307T214405_052881_066688_CF56-SLC,S1A_IW_SLC__1SDV_20240319T214338_20240319T214405_053056_066CD6_231D,S1A_IW_SLC__1SDV_20240319T214338_20240319T214405_053056_066CD6_231D-SLC,12,134,86.47790356047952,12
S1A_IW_SLC__1SDV_20240307T214403_20240307T214431_052881_066688_3AE0,S1A_IW_SLC__1SDV_20240307T214403_20240307T214431_052881_066688_3AE0-SLC,S1A_IW_SLC__1SDV_20240319T214403_20240319T214431_053056_066CD6_F732,S1A_IW_SLC__1SDV_20240319T214403_20240319T214431_053056_066CD6_F732-SLC,12,134,128.8642105580248,12
S1A_IW_SLC__1SDV_20240319T214313_20240319T214340_053056_066CD6_B01F,S1A_IW_SLC__1SDV_20240319T214313_20240319T214340_053056_066CD6_B01F-SLC,S1A_IW_SLC__1SDV_20240331T214314_20240331T214341_053231_067379_4A36,S1A_IW_SLC__1SDV_20240331T214314_20240331T214341_053231_067379_4A36-SLC,12,134,124.58796762557012,12
S1A_IW_SLC__1SDV_20240319T214338_20240319T214405_053056_066CD6_231D,S1A_IW_SLC__1SDV_20240319T214338_20240319T214405_053056_066CD6_231D-SLC,S1A_IW_SLC__1SDV_20240331T214339_20240331T214406_053231_067379_1191,S1A_IW_SLC__1SDV_20240331T214339_20240331T214406_053231_067379_1191-SLC,12,134,100.76096208360224,12
