master_id,master_fileID,slave_id,slave_fileID,delta_days,track
S1A_IW_SLC__1SDV_20230105T215030_20230105T215057_046654_05978B_35F9,S1A_IW_SLC__1SDV_20230105T215030_20230105T215057_046654_05978B_35F9-SLC,S1A_IW_SLC__1SDV_20230117T215054_20230117T215122_046829_059D74_E9DF,S1A_IW_SLC__1SDV_20230117T215054_20230117T215122_046829_059D74_E9DF-SLC,12,32
S1A_IW_SLC__1SDV_20230105T215055_20230105T215123_046654_05978B_DF0E,S1A_IW_SLC__1SDV_20230105T215055_20230105T215123_046654_05978B_DF0E-SLC,S1A_IW_SLC__1SDV_20230117T215119_20230117T215147_046829_059D74_620F,S1A_IW_SLC__1SDV_20230117T215119_20230117T215147_046829_059D74_620F-SLC,12,32
S1A_IW_SLC__1SDV_20230105T215120_20230105T215147_046654_05978B_7201,S1A_IW_SLC__1SDV_20230105T215120_20230105T215147_046654_05978B_7201-SLC,S1A_IW_SLC__1SDV_20230117T215144_20230117T215211_046829_059D74_F458,S1A_IW_SLC__1SDV_20230117T215144_20230117T215211_046829_059D74_F458-SLC,12,32
S1A_IW_SLC__1SDV_20230105T215145_20230105T215212_046654_05978B_C229,S1A_IW_SLC__1SDV_20230105T215145_20230105T215212_046654_05978B_C229-SLC,S1A_IW_SLC__1SDV_20230117T215209_20230117T215236_046829_059D74_2094,S1A_IW_SLC__1SDV_20230117T215209_20230117T215236_046829_059D74_2094-SLC,12,32
S1A_IW_SLC__1SDV_20230105T215210_20230105T215237_046654_05978B_CE2D,S1A_IW_SLC__1SDV_20230105T215210_20230105T215237_046654_05978B_CE2D-SLC,S1A_IW_SLC__1SDV_20230117T215234_20230117T215301_046829_059D74_DAEB,S1A_IW_SLC__1SDV_20230117T215234_20230117T215301_046829_059D74_DAEB-SLC,12,32
S1A_IW_SLC__1SDV_20230105T215235_20230105T215302_046654_05978B_35A0,S1A_IW_SLC__1SDV_20230105T215235_20230105T215302_046654_05978B_35A0-SLC,S1A_IW_SLC__1SDV_20230129T214915_20230129T214942_047004_05A35E_30E9,S1A_IW_SLC__1SDV_20230129T214915_20230129T214942_047004_05A35E_30E9-SLC,23,32
S1A_IW_SLC__1SDV_20230117T214914_20230117T214941_046829_059D74_C740,S1A_IW_SLC__1SDV_20230117T214914_20230117T214941_046829_059D74_C740-SLC,S1A_IW_SLC__1SDV_20230129T214915_20230129T214942_047004_05A35E_30E9,S1A_IW_SLC__1SDV_20230129T214915_20230129T214942_047004_05A35E_30E9-SLC,12,32
S1A_IW_SLC__1SDV_20230117T214939_20230117T215006_046829_059D74_1A63,S1A_IW_SLC__1SDV_20230117T214939_20230117T215006_046829_059D74_1A63-SLC,S1A_IW_SLC__1SDV_20230129T214940_20230129T215007_047004_05A35E_0805,S1A_IW_SLC__1SDV_20230129T214940_20230129T215007_047004_05A35E_0805-SLC,12,32
S1A_IW_SLC__1SDV_20230117T215004_20230117T215031_046829_059D74_FFF8,S1A_IW_SLC__1SDV_20230117T215004_20230117T215031_046829_059D74_FFF8-SLC,S1A_IW_SLC__1SDV_20230129T215004_20230129T215031_047004_05A35E_BC41,S1A_IW_SLC__1SDV_20230129T215004_20230129T215031_047004_05A35E_BC41-SLC,12,32
S1A_IW_SLC__1SDV_20230117T215029_20230117T215056_046829_059D74_EB3F,S1A_IW_SLC__1SDV_20230117T215029_20230117T215056_046829_059D74_EB3F-SLC,S1A_IW_SLC__1SDV_20230129T215029_20230129T215056_047004_05A35E_6B99,S1A_IW_SLC__1SDV_20230129T215029_20230129T215056_047004_05A35E_6B99-SLC,12,32
S1A_IW_SLC__1SDV_20230117T215054_20230117T215122_046829_059D74_E9DF,S1A_IW_SLC__1SDV_20230117T215054_20230117T215122_046829_059D74_E9DF-SLC,S1A_IW_SLC__1SDV_20230129T215054_20230129T215122_047004_05A35E_CEED,S1A_IW_SLC__1SDV_20230129T215054_20230129T215122_047004_05A35E_CEED-SLC,12,32
S1A_IW_SLC__1SDV_20230117T215119_20230117T215147_046829_059D74_620F,S1A_IW_SLC__1SDV_20230117T215119_20230117T215147_046829_059D74_620F-SLC,S1A_IW_SLC__1SDV_20230129T215120_20230129T215147_047004_05A35E_7391,S1A_IW_SLC__1SDV_20230129T215120_20230129T215147_047004_05A35E_7391-SLC,12,32
S1A_IW_SLC__1SDV_20230117T215144_20230117T215211_046829_059D74_F458,S1A_IW_SLC__1SDV_20230117T215144_20230117T215211_046829_059D74_F458-SLC,S1A_IW_SLC__1SDV_20230129T215145_20230129T215212_047004_05A35E_226B,S1A_IW_SLC__1SDV_20230129T215145_20230129T215212_047004_05A35E_226B-SLC,12,32
S1A_IW_SLC__1SDV_20230117T215209_20230117T215236_046829_059D74_2094,S1A_IW_SLC__1SDV_20230117T215209_20230117T215236_046829_059D74_2094-SLC,S1A_IW_SLC__1SDV_20230129T215209_20230129T215236_047004_05A35E_FF58,S1A_IW_SLC__1SDV_20230129T215209_20230129T215236_047004_05A35E_FF58-SLC,12,32
S1A_IW_SLC__1SDV_20230117T215234_20230117T215301_046829_059D74_DAEB,S1A_IW_SLC__1SDV_20230117T215234_20230117T215301_046829_059D74_DAEB-SLC,S1A_IW_SLC__1SDV_20230129T215234_20230129T215301_047004_05A35E_15AE,S1A_IW_SLC__1SDV_20230129T215234_20230129T215301_047004_05A35E_15AE-SLC,12,32
S1A_IW_SLC__1SDV_20230129T214915_20230129T214942_047004_05A35E_30E9,S1A_IW_SLC__1SDV_20230129T214915_20230129T214942_047004_05A35E_30E9-SLC,S1A_IW_SLC__1SDV_20230210T214939_20230210T215006_047179_05A92D_748B,S1A_IW_SLC__1SDV_20230210T214939_20230210T215006_047179_05A92D_748B-SLC,12,32
